0.0,12,300,0
1.0,12,300,0
2.0,12,300,0
3.0,12,300,0
4.0,12,300,0
5.0,12,300,0
6.0,12,300,0
7.0,12,300,0
8.0,12,300,0
9.0,12,300,0
10.0,12,300,0
11.0,12,300,0
12.0,12,300,0
13.0,12,300,0
14.0,12,300,0
15.0,12,300,0
16.0,12,300,0
17.0,12,300,0
18.0,12,300,0
19.0,12,300,0
20.0,12,300,0
21.0,12,300,0
22.0,12,300,0
23.0,12,300,0
24.0,12,300,0
25.0,12,300,0
26.0,12,300,0
27.0,12,300,0
28.0,12,300,0
29.0,12,300,0
30.0,12,300,0
31.0,12,300,0
32.0,12,300,0
33.0,12,300,0
34.0,12,300,0
35.0,12,300,0
36.0,12,300,0
37.0,12,300,0
38.0,12,300,0
39.0,12,300,0
40.0,12,300,0
41.0,12,300,0
42.0,12,300,0
43.0,12,300,0
44.0,12,300,0
45.0,12,300,0
46.0,12,300,0
47.0,12,300,0
48.0,12,300,0
49.0,12,300,0
50.0,12,300,0
51.0,12,300,0
52.0,12,300,0
53.0,12,300,0
54.0,12,300,0
55.0,12,300,0
56.0,12,300,0
57.0,12,300,0
58.0,12,300,0
59.0,12,300,0
60.0,12,300,0
61.0,12,300,0
62.0,12,300,0
63.0,12,300,0
64.0,12,300,0
65.0,12,300,0
66.0,12,300,0
67.0,12,300,0
68.0,12,300,0
69.0,12,300,0
70.0,12,300,0
71.0,12,300,0
72.0,12,300,0
73.0,12,300,0
74.0,12,300,0
75.0,12,300,0
76.0,12,300,0
77.0,12,300,0
78.0,12,300,0
79.0,12,300,0
80.0,12,300,0
81.0,12,300,0
82.0,12,300,0
83.0,12,300,0
84.0,12,300,0
85.0,12,300,0
86.0,12,300,0
87.0,12,300,0
88.0,12,300,0
89.0,12,300,0
90.0,12,300,0
91.0,12,300,0
92.0,12,300,0
93.0,12,300,0
94.0,12,300,0
95.0,12,300,0
96.0,12,300,0
97.0,12,300,0
98.0,12,300,0
99.0,12,300,0
100.0,12,300,0
101.0,12,300,0
102.0,12,300,0
103.0,12,300,0
