time,sulfide,sulfite,hydrogen
0.0,240,24,0
1.0,240,24,0
2.0,240,24,0
3.0,240,24,0
4.0,240,24,0
5.0,240,24,0
6.0,240,24,0
7.0,240,24,0
8.0,240,24,0
9.0,240,24,0
10.0,240,24,0
11.0,240,24,0
12.0,240,24,0
13.0,240,24,0
14.0,240,24,0
15.0,240,24,0
16.0,240,24,0
17.0,240,24,0
18.0,240,24,0
19.0,240,24,0
20.0,240,24,0
21.0,240,24,0
22.0,240,24,0
23.0,240,24,0
24.0,240,24,0
25.0,240,24,0
26.0,240,24,0
27.0,240,24,0
28.0,240,24,0
29.0,240,24,0
30.0,240,24,0
31.0,240,24,0
32.0,240,24,0
33.0,240,24,0
34.0,240,24,0
35.0,240,24,0
36.0,240,24,0
37.0,240,24,0
38.0,240,24,0
39.0,240,24,0
40.0,240,24,0
41.0,240,24,0
42.0,240,24,0
43.0,240,24,0
44.0,240,24,0
45.0,240,24,0
46.0,240,24,0
47.0,240,24,0
48.0,240,24,0
49.0,240,24,0
50.0,240,24,0
51.0,240,24,0
52.0,240,24,0
53.0,240,24,0
54.0,240,24,0
55.0,240,24,0
56.0,240,24,0
57.0,240,24,0
58.0,240,24,0
59.0,240,24,0
60.0,240,24,0
61.0,240,24,0
62.0,240,24,0
63.0,240,24,0
64.0,240,24,0
65.0,240,24,0
66.0,240,24,0
67.0,240,24,0
68.0,240,24,0
69.0,240,24,0
70.0,240,24,0
71.0,240,24,0
72.0,240,24,0
73.0,240,24,0
74.0,240,24,0
75.0,240,24,0
76.0,240,24,0
77.0,240,24,0
78.0,240,24,0
79.0,240,24,0
80.0,240,24,0
81.0,240,24,0
82.0,240,24,0
83.0,240,24,0
84.0,240,24,0
85.0,240,24,0
86.0,240,24,0
87.0,240,24,0
88.0,240,24,0
89.0,240,24,0
90.0,240,24,0
91.0,240,24,0
92.0,240,24,0
93.0,240,24,0
94.0,240,24,0
95.0,240,24,0
96.0,240,24,0
97.0,240,24,0
98.0,240,24,0
99.0,240,24,0
100.0,240,24,0
101.0,240,24,0
102.0,240,24,0
103.0,240,24,0
104.0,240,24,0
105.0,240,24,0
106.0,240,24,0
107.0,240,24,0
108.0,240,24,0
109.0,240,24,0
110.0,240,24,0
111.0,240,24,0
112.0,240,24,0
113.0,240,24,0
114.0,240,24,0
115.0,240,24,0
116.0,240,24,0
117.0,240,24,0
118.0,240,24,0
119.0,240,24,0
120.0,240,24,0
121.0,240,24,0
122.0,240,24,0
123.0,240,24,0
124.0,240,24,0
125.0,240,24,0
126.0,240,24,0
127.0,240,24,0
128.0,240,24,0
129.0,240,24,0
130.0,240,24,0
131.0,240,24,0
132.0,240,24,0
133.0,240,24,0
134.0,240,24,0
135.0,240,24,0
136.0,240,24,0
137.0,240,24,0
138.0,240,24,0
139.0,240,24,0
140.0,240,24,0
141.0,240,24,0
142.0,240,24,0
143.0,240,24,0
144.0,240,24,0
145.0,240,24,0
146.0,240,24,0
147.0,240,24,0
148.0,240,24,0
149.0,240,24,0
150.0,240,24,0
151.0,240,24,0
152.0,240,24,0
153.0,240,24,0
154.0,240,24,0
155.0,240,24,0
156.0,240,24,0
157.0,240,24,0
158.0,240,24,0
159.0,240,24,0
160.0,240,24,0
161.0,240,24,0
162.0,240,24,0
163.0,240,24,0
164.0,240,24,0
165.0,240,24,0
166.0,240,24,0
167.0,240,24,0
168.0,240,24,0
169.0,240,24,0
170.0,240,24,0
171.0,240,24,0
172.0,240,24,0
173.0,240,24,0
174.0,240,24,0
175.0,240,24,0
176.0,240,24,0
177.0,240,24,0
178.0,240,24,0
179.0,240,24,0
180.0,240,24,0
181.0,240,24,0
182.0,240,24,0
183.0,240,24,0
184.0,240,24,0
185.0,240,24,0
186.0,240,24,0
187.0,240,24,0
188.0,240,24,0
189.0,240,24,0
190.0,240,24,0
191.0,240,24,0
192.0,240,24,0
193.0,240,24,0
194.0,240,24,0
195.0,240,24,0
196.0,240,24,0
197.0,240,24,0
198.0,240,24,0
199.0,240,24,0
200.0,240,24,0
201.0,240,24,0
202.0,240,24,0
203.0,240,24,0
204.0,240,24,0
205.0,240,24,0
206.0,240,24,0
207.0,240,24,0
208.0,240,24,0
209.0,240,24,0
210.0,240,24,0
211.0,240,24,0
212.0,240,24,0
213.0,240,24,0
214.0,240,24,0
215.0,240,24,0
216.0,240,24,0
217.0,240,24,0
218.0,240,24,0
219.0,240,24,0
220.0,240,24,0
221.0,240,24,0
222.0,240,24,0
223.0,240,24,0
224.0,240,24,0
225.0,240,24,0
226.0,240,24,0
227.0,240,24,0
228.0,240,24,0
229.0,240,24,0
230.0,240,24,0
231.0,240,24,0
232.0,240,24,0
233.0,240,24,0
234.0,240,24,0
235.0,240,24,0
236.0,240,24,0
237.0,240,24,0
238.0,240,24,0
239.0,240,24,0
240.0,240,24,0
241.0,240,24,0
242.0,240,24,0
243.0,240,24,0
244.0,240,24,0
245.0,240,24,0
246.0,240,24,0
247.0,240,24,0
248.0,240,24,0
249.0,240,24,0
250.0,240,24,0
251.0,240,24,0
252.0,240,24,0
253.0,240,24,0
254.0,240,24,0
255.0,240,24,0
256.0,240,24,0
257.0,240,24,0
258.0,240,24,0
259.0,240,24,0
260.0,240,24,0
261.0,240,24,0
262.0,240,24,0
263.0,240,24,0
264.0,240,24,0
265.0,240,24,0
266.0,240,24,0
267.0,240,24,0
268.0,240,24,0
269.0,240,24,0
270.0,240,24,0
271.0,240,24,0
272.0,240,24,0
273.0,240,24,0
