time,sulfide,sulfite,hydrogen
0.0,12,240,0
1.0,12,240,0
2.0,12,240,0
3.0,12,240,0
4.0,12,240,0
5.0,12,240,0
6.0,12,240,0
7.0,12,240,0
8.0,12,240,0
9.0,12,240,0
10.0,12,240,0
11.0,12,240,0
12.0,12,240,0
13.0,12,240,0
14.0,12,240,0
15.0,12,240,0
16.0,12,240,0
17.0,12,240,0
18.0,12,240,0
19.0,12,240,0
20.0,12,240,0
21.0,12,240,0
22.0,12,240,0
23.0,12,240,0
24.0,12,240,0
25.0,12,240,0
26.0,12,240,0
27.0,12,240,0
28.0,12,240,0
29.0,12,240,0
30.0,12,240,0
31.0,12,240,0
32.0,12,240,0
33.0,12,240,0
34.0,12,240,0
35.0,12,240,0
36.0,12,240,0
37.0,12,240,0
38.0,12,240,0
39.0,12,240,0
40.0,12,240,0
41.0,12,240,0
42.0,12,240,0
43.0,12,240,0
44.0,12,240,0
45.0,12,240,0
46.0,12,240,0
47.0,12,240,0
48.0,12,240,0
49.0,12,240,0
50.0,12,240,0
51.0,12,240,0
52.0,12,240,0
53.0,12,240,0
54.0,12,240,0
55.0,12,240,0
56.0,12,240,0
57.0,12,240,0
58.0,12,240,0
59.0,12,240,0
60.0,12,240,0
61.0,12,240,0
62.0,12,240,0
63.0,12,240,0
64.0,12,240,0
65.0,12,240,0
66.0,12,240,0
67.0,12,240,0
68.0,12,240,0
69.0,12,240,0
70.0,12,240,0
71.0,12,240,0
72.0,12,240,0
73.0,12,240,0
74.0,12,240,0
75.0,12,240,0
76.0,12,240,0
77.0,12,240,0
78.0,12,240,0
79.0,12,240,0
80.0,12,240,0
81.0,12,240,0
82.0,12,240,0
83.0,12,240,0
84.0,12,240,0
85.0,12,240,0
86.0,12,240,0
87.0,12,240,0
88.0,12,240,0
89.0,12,240,0
90.0,12,240,0
91.0,12,240,0
92.0,12,240,0
93.0,12,240,0
94.0,12,240,0
95.0,12,240,0
96.0,12,240,0
97.0,12,240,0
98.0,12,240,0
99.0,12,240,0
100.0,12,240,0
101.0,12,240,0
102.0,12,240,0
103.0,12,240,0
104.0,12,240,0
105.0,12,240,0
106.0,12,240,0
107.0,12,240,0
108.0,12,240,0
109.0,12,240,0
110.0,12,240,0
111.0,12,240,0
112.0,12,240,0
113.0,12,240,0
114.0,12,240,0
115.0,12,240,0
116.0,12,240,0
117.0,12,240,0
118.0,12,240,0
119.0,12,240,0
120.0,12,240,0
121.0,12,240,0
122.0,12,240,0
123.0,12,240,0
124.0,12,240,0
125.0,12,240,0
126.0,12,240,0
127.0,12,240,0
128.0,12,240,0
129.0,12,240,0
130.0,12,240,0
131.0,12,240,0
132.0,12,240,0
133.0,12,240,0
134.0,12,240,0
135.0,12,240,0
136.0,12,240,0
137.0,12,240,0
138.0,12,240,0
139.0,12,240,0
140.0,12,240,0
141.0,12,240,0
142.0,12,240,0
143.0,12,240,0
144.0,12,240,0
145.0,12,240,0
146.0,12,240,0
147.0,12,240,0
148.0,12,240,0
149.0,12,240,0
150.0,12,240,0
151.0,12,240,0
152.0,12,240,0
153.0,12,240,0
154.0,12,240,0
155.0,12,240,0
156.0,12,240,0
157.0,12,240,0
158.0,12,240,0
159.0,12,240,0
160.0,12,240,0
161.0,12,240,0
162.0,12,240,0
163.0,12,240,0
164.0,12,240,0
165.0,12,240,0
166.0,12,240,0
167.0,12,240,0
168.0,12,240,0
169.0,12,240,0
170.0,12,240,0
171.0,12,240,0
172.0,12,240,0
173.0,12,240,0
174.0,12,240,0
175.0,12,240,0
176.0,12,240,0
177.0,12,240,0
178.0,12,240,0
179.0,12,240,0
180.0,12,240,0
181.0,12,240,0
182.0,12,240,0
183.0,12,240,0
184.0,12,240,0
185.0,12,240,0
186.0,12,240,0
187.0,12,240,0
188.0,12,240,0
189.0,12,240,0
190.0,12,240,0
191.0,12,240,0
192.0,12,240,0
193.0,12,240,0
194.0,12,240,0
195.0,12,240,0
196.0,12,240,0
197.0,12,240,0
198.0,12,240,0
199.0,12,240,0
200.0,12,240,0
201.0,12,240,0
202.0,12,240,0
203.0,12,240,0
204.0,12,240,0
205.0,12,240,0
206.0,12,240,0
207.0,12,240,0
208.0,12,240,0
209.0,12,240,0
210.0,12,240,0
211.0,12,240,0
212.0,12,240,0
213.0,12,240,0
214.0,12,240,0
215.0,12,240,0
216.0,12,240,0
217.0,12,240,0
218.0,12,240,0
219.0,12,240,0
220.0,12,240,0
221.0,12,240,0
222.0,12,240,0
223.0,12,240,0
224.0,12,240,0
225.0,12,240,0
226.0,12,240,0
