time,sulfide,sulfite,hydrogen
0.0,60,240,0
1.0,60,240,0
2.0,60,240,0
3.0,60,240,0
4.0,60,240,0
5.0,60,240,0
6.0,60,240,0
7.0,60,240,0
8.0,60,240,0
9.0,60,240,0
10.0,60,240,0
11.0,60,240,0
12.0,60,240,0
13.0,60,240,0
14.0,60,240,0
15.0,60,240,0
16.0,60,240,0
17.0,60,240,0
18.0,60,240,0
19.0,60,240,0
20.0,60,240,0
21.0,60,240,0
22.0,60,240,0
23.0,60,240,0
24.0,60,240,0
25.0,60,240,0
26.0,60,240,0
27.0,60,240,0
28.0,60,240,0
29.0,60,240,0
30.0,60,240,0
31.0,60,240,0
32.0,60,240,0
33.0,60,240,0
34.0,60,240,0
35.0,60,240,0
36.0,60,240,0
37.0,60,240,0
38.0,60,240,0
39.0,60,240,0
40.0,60,240,0
41.0,60,240,0
42.0,60,240,0
43.0,60,240,0
44.0,60,240,0
45.0,60,240,0
46.0,60,240,0
47.0,60,240,0
48.0,60,240,0
49.0,60,240,0
50.0,60,240,0
51.0,60,240,0
52.0,60,240,0
53.0,60,240,0
54.0,60,240,0
55.0,60,240,0
56.0,60,240,0
57.0,60,240,0
58.0,60,240,0
59.0,60,240,0
60.0,60,240,0
61.0,60,240,0
62.0,60,240,0
63.0,60,240,0
64.0,60,240,0
65.0,60,240,0
66.0,60,240,0
67.0,60,240,0
68.0,60,240,0
69.0,60,240,0
70.0,60,240,0
71.0,60,240,0
72.0,60,240,0
73.0,60,240,0
74.0,60,240,0
75.0,60,240,0
76.0,60,240,0
77.0,60,240,0
78.0,60,240,0
79.0,60,240,0
80.0,60,240,0
81.0,60,240,0
82.0,60,240,0
83.0,60,240,0
84.0,60,240,0
85.0,60,240,0
86.0,60,240,0
87.0,60,240,0
88.0,60,240,0
89.0,60,240,0
90.0,60,240,0
91.0,60,240,0
92.0,60,240,0
93.0,60,240,0
94.0,60,240,0
95.0,60,240,0
96.0,60,240,0
97.0,60,240,0
98.0,60,240,0
99.0,60,240,0
100.0,60,240,0
101.0,60,240,0
102.0,60,240,0
103.0,60,240,0
104.0,60,240,0
105.0,60,240,0
106.0,60,240,0
107.0,60,240,0
108.0,60,240,0
109.0,60,240,0
110.0,60,240,0
111.0,60,240,0
112.0,60,240,0
113.0,60,240,0
114.0,60,240,0
115.0,60,240,0
116.0,60,240,0
117.0,60,240,0
118.0,60,240,0
119.0,60,240,0
120.0,60,240,0
121.0,60,240,0
122.0,60,240,0
123.0,60,240,0
124.0,60,240,0
125.0,60,240,0
126.0,60,240,0
127.0,60,240,0
128.0,60,240,0
129.0,60,240,0
130.0,60,240,0
131.0,60,240,0
132.0,60,240,0
133.0,60,240,0
134.0,60,240,0
135.0,60,240,0
136.0,60,240,0
137.0,60,240,0
138.0,60,240,0
139.0,60,240,0
140.0,60,240,0
141.0,60,240,0
142.0,60,240,0
143.0,60,240,0
144.0,60,240,0
145.0,60,240,0
146.0,60,240,0
147.0,60,240,0
148.0,60,240,0
149.0,60,240,0
150.0,60,240,0
151.0,60,240,0
152.0,60,240,0
153.0,60,240,0
154.0,60,240,0
155.0,60,240,0
156.0,60,240,0
157.0,60,240,0
158.0,60,240,0
159.0,60,240,0
160.0,60,240,0
161.0,60,240,0
162.0,60,240,0
163.0,60,240,0
164.0,60,240,0
165.0,60,240,0
166.0,60,240,0
167.0,60,240,0
168.0,60,240,0
169.0,60,240,0
170.0,60,240,0
171.0,60,240,0
172.0,60,240,0
173.0,60,240,0
174.0,60,240,0
175.0,60,240,0
176.0,60,240,0
177.0,60,240,0
178.0,60,240,0
179.0,60,240,0
180.0,60,240,0
181.0,60,240,0
182.0,60,240,0
183.0,60,240,0
184.0,60,240,0
185.0,60,240,0
186.0,60,240,0
187.0,60,240,0
188.0,60,240,0
189.0,60,240,0
190.0,60,240,0
191.0,60,240,0
192.0,60,240,0
193.0,60,240,0
194.0,60,240,0
195.0,60,240,0
196.0,60,240,0
197.0,60,240,0
198.0,60,240,0
199.0,60,240,0
200.0,60,240,0
201.0,60,240,0
202.0,60,240,0
203.0,60,240,0
204.0,60,240,0
205.0,60,240,0
206.0,60,240,0
207.0,60,240,0
208.0,60,240,0
209.0,60,240,0
210.0,60,240,0
211.0,60,240,0
212.0,60,240,0
213.0,60,240,0
214.0,60,240,0
215.0,60,240,0
216.0,60,240,0
217.0,60,240,0
218.0,60,240,0
219.0,60,240,0
220.0,60,240,0
221.0,60,240,0
222.0,60,240,0
223.0,60,240,0
224.0,60,240,0
225.0,60,240,0
226.0,60,240,0
227.0,60,240,0
228.0,60,240,0
229.0,60,240,0
230.0,60,240,0
231.0,60,240,0
232.0,60,240,0
233.0,60,240,0
234.0,60,240,0
235.0,60,240,0
236.0,60,240,0
237.0,60,240,0
238.0,60,240,0
239.0,60,240,0
240.0,60,240,0
241.0,60,240,0
242.0,60,240,0
243.0,60,240,0
244.0,60,240,0
245.0,60,240,0
246.0,60,240,0
247.0,60,240,0
248.0,60,240,0
249.0,60,240,0
250.0,60,240,0
251.0,60,240,0
252.0,60,240,0
253.0,60,240,0
254.0,60,240,0
255.0,60,240,0
256.0,60,240,0
257.0,60,240,0
258.0,60,240,0
259.0,60,240,0
260.0,60,240,0
261.0,60,240,0
262.0,60,240,0
263.0,60,240,0
264.0,60,240,0
265.0,60,240,0
266.0,60,240,0
267.0,60,240,0
268.0,60,240,0
269.0,60,240,0
270.0,60,240,0
271.0,60,240,0
272.0,60,240,0
273.0,60,240,0
274.0,60,240,0
275.0,60,240,0
276.0,60,240,0
277.0,60,240,0
278.0,60,240,0
279.0,60,240,0
280.0,60,240,0
281.0,60,240,0
282.0,60,240,0
283.0,60,240,0
284.0,60,240,0
285.0,60,240,0
286.0,60,240,0
287.0,60,240,0
288.0,60,240,0
289.0,60,240,0
290.0,60,240,0
291.0,60,240,0
292.0,60,240,0
293.0,60,240,0
294.0,60,240,0
295.0,60,240,0
296.0,60,240,0
297.0,60,240,0
298.0,60,240,0
299.0,60,240,0
300.0,60,240,0
301.0,60,240,0
302.0,60,240,0
303.0,60,240,0
304.0,60,240,0
305.0,60,240,0
306.0,60,240,0
307.0,60,240,0
308.0,60,240,0
309.0,60,240,0
310.0,60,240,0
311.0,60,240,0
312.0,60,240,0
313.0,60,240,0
314.0,60,240,0
315.0,60,240,0
316.0,60,240,0
317.0,60,240,0
318.0,60,240,0
319.0,60,240,0
320.0,60,240,0
321.0,60,240,0
322.0,60,240,0
323.0,60,240,0
324.0,60,240,0
325.0,60,240,0
326.0,60,240,0
327.0,60,240,0
328.0,60,240,0
329.0,60,240,0
330.0,60,240,0
331.0,60,240,0
332.0,60,240,0
333.0,60,240,0
334.0,60,240,0
335.0,60,240,0
336.0,60,240,0
337.0,60,240,0
338.0,60,240,0
339.0,60,240,0
340.0,60,240,0
341.0,60,240,0
342.0,60,240,0
343.0,60,240,0
344.0,60,240,0
345.0,60,240,0
346.0,60,240,0
347.0,60,240,0
348.0,60,240,0
349.0,60,240,0
350.0,60,240,0
351.0,60,240,0
352.0,60,240,0
353.0,60,240,0
354.0,60,240,0
355.0,60,240,0
356.0,60,240,0
357.0,60,240,0
358.0,60,240,0
359.0,60,240,0
360.0,60,240,0
361.0,60,240,0
362.0,60,240,0
363.0,60,240,0
364.0,60,240,0
365.0,60,240,0
366.0,60,240,0
367.0,60,240,0
368.0,60,240,0
369.0,60,240,0
370.0,60,240,0
371.0,60,240,0
372.0,60,240,0
373.0,60,240,0
374.0,60,240,1
375.0,60,240,1
376.0,60,240,1
377.0,60,240,1
378.0,60,240,1
379.0,60,240,1
380.0,60,240,1
381.0,60,240,1
382.0,60,240,1
383.0,60,240,1
384.0,60,240,1
385.0,60,240,1
386.0,60,240,1
387.0,60,240,1
388.0,60,240,1
389.0,60,240,1
390.0,60,240,1
391.0,60,240,1
392.0,60,240,1
393.0,60,240,1
394.0,60,240,1
395.0,60,240,1
396.0,60,240,1
397.0,60,240,1
398.0,60,240,1
399.0,60,240,1
400.0,60,240,1
401.0,60,240,1
402.0,60,240,1
403.0,60,240,1
404.0,60,240,1
405.0,60,240,1
406.0,60,240,1
407.0,60,240,1
408.0,60,240,1
409.0,60,240,1
410.0,60,240,1
411.0,60,240,1
412.0,60,240,1
413.0,60,240,1
414.0,60,240,1
415.0,60,240,1
416.0,60,240,1
417.0,60,240,1
418.0,60,240,1
419.0,60,240,1
420.0,60,240,1
421.0,60,240,1
422.0,60,240,1
423.0,60,240,1
424.0,60,240,1
425.0,60,240,1
426.0,60,240,1
427.0,60,240,1
428.0,60,240,1
429.0,60,240,1
430.0,60,240,1
431.0,60,240,1
432.0,60,240,1
433.0,60,240,1
434.0,60,240,1
435.0,60,240,1
436.0,60,240,1
437.0,60,240,1
438.0,60,240,1
439.0,60,240,1
440.0,60,240,1
441.0,60,240,1
442.0,60,240,1
443.0,60,240,1
444.0,60,240,1
445.0,60,240,1
446.0,60,240,1
447.0,60,240,1
448.0,60,240,1
449.0,60,240,1
450.0,60,240,1
451.0,60,240,1
452.0,60,240,1
453.0,60,240,1
454.0,60,240,1
455.0,60,240,1
456.0,60,240,1
457.0,60,240,1
458.0,60,240,1
459.0,60,240,1
460.0,60,240,1
461.0,60,240,1
462.0,60,240,1
463.0,60,240,1
464.0,60,240,1
465.0,60,240,1
466.0,60,240,1
467.0,60,240,1
468.0,60,240,1
469.0,60,240,1
470.0,60,240,1
471.0,60,240,1
472.0,60,240,1
473.0,60,240,1
474.0,60,240,1
475.0,60,240,1
476.0,60,240,1
477.0,60,240,1
478.0,60,240,1
479.0,60,240,1
480.0,60,240,1
481.0,60,240,1
482.0,60,240,1
483.0,60,240,1
484.0,60,240,1
485.0,60,240,1
486.0,60,240,1
487.0,60,240,1
488.0,60,240,1
489.0,60,240,1
490.0,60,240,1
491.0,60,240,1
492.0,60,240,1
493.0,60,240,1
494.0,60,240,1
495.0,60,240,1
496.0,60,240,1
497.0,60,240,1
498.0,60,240,1
499.0,60,240,1
500.0,60,240,1
501.0,60,240,1
502.0,60,240,1
503.0,60,240,1
504.0,60,240,1
505.0,60,240,1
506.0,60,240,1
507.0,60,240,1
508.0,60,240,1
509.0,60,240,1
510.0,60,240,1
511.0,60,240,1
512.0,60,240,1
513.0,60,240,1
514.0,60,240,1
515.0,60,240,1
516.0,60,240,1
517.0,60,240,1
518.0,60,240,1
519.0,60,240,1
520.0,60,240,1
521.0,60,240,1
522.0,60,240,1
523.0,60,240,1
524.0,60,240,1
525.0,60,240,1
526.0,60,240,1
527.0,60,240,1
528.0,60,240,1
529.0,60,240,1
530.0,60,240,1
531.0,60,240,1
532.0,60,240,1
533.0,60,240,1
534.0,60,240,1
535.0,60,240,1
536.0,60,240,1
537.0,60,240,1
538.0,60,240,1
539.0,60,240,1
540.0,60,240,1
541.0,60,240,1
542.0,60,240,1
543.0,60,240,1
544.0,60,240,1
545.0,60,240,1
546.0,60,240,1
547.0,60,240,1
548.0,60,240,1
549.0,60,240,1
550.0,60,240,1
551.0,60,240,1
552.0,60,240,1
553.0,60,240,1
554.0,60,240,1
555.0,60,240,1
556.0,60,240,1
557.0,60,240,1
558.0,60,240,1
559.0,60,240,1
560.0,60,240,1
561.0,60,240,1
562.0,60,240,1
563.0,60,240,1
564.0,60,240,1
565.0,60,240,1
566.0,60,240,1
567.0,60,240,1
568.0,60,240,1
569.0,60,240,1
570.0,60,240,1
571.0,60,240,1
572.0,60,240,1
573.0,60,240,1
574.0,60,240,1
575.0,60,240,1
576.0,60,240,1
577.0,60,240,1
578.0,60,240,1
579.0,60,240,1
580.0,60,240,1
581.0,60,240,1
582.0,60,240,1
583.0,60,240,1
584.0,60,240,1
585.0,60,240,1
586.0,60,240,1
587.0,60,240,1
588.0,60,240,1
589.0,60,240,1
590.0,60,240,1
